month_start,product,hs_code,category,state,port,country,qty_tonnes,value_inr_lakh,unit_value_inr_kg
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,TUTICORIN SEA,Zambia,0.336,1.88,559.5238095
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Oman,27.906,78.08,279.7964595
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD NOIDA-DADRI,Ghana,0.018,0.08,444.4444444
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,Philippines,0.24,1.07,445.8333333
01-05-2026,Natural Honey,4090000,Natural Honey,Rajasthan,ICD KANAKPURA,Libya,48,139.26,290.125
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Philippines,0.464,2.25,484.9137931
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Saudi Arabia,50.4,94.69,187.8769841
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Tunisia,27.16,40.95,150.7731959
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,Morocco,25.272,38.07,150.6410256
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,United Arab Emirates,92.832,125.4,135.0827301
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Netherlands,0.058,0.34,586.2068966
01-05-2026,Natural Honey,4090000,Natural Honey,Telangana,ICD THIMMAPUR (CMTL)/AP ICD,Turkey,1,2.51,251
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Kazakhstan,45.6,59.05,129.495614
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Kuwait,25.216,55.25,219.1069162
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Japan,1.322,4.66,352.4962179
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI AIRPORT,Ethiopia,2.8,16.55,591.0714286
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI AIRPORT,United States,0.036,5.44,15111.11111
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,"HAZIRA PORT, SURAT SEZ",Cameroon,0.008,0.03,375
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Nigeria,2.502,10.58,422.8617106
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Kuwait,20.532,65.17,317.4069745
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,ICD SABARMATI,Tanzania,0.377,0.54,143.2360743
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,United Kingdom,132.24,206.29,155.9966727
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Saudi Arabia,17.994,32.54,180.8380571
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Israel,100,135.51,135.51
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,United States,1024.177,1600.99,156.3196596
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",United Arab Emirates,19.096,24.98,130.8127357
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Gambia,0.96,1.79,186.4583333
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,Singapore,1.729,3.8,219.7802198
01-05-2026,Natural Honey,4090000,Natural Honey,Delhi,ICD CFS PATPARGANJ,Singapore,0.085,0.35,411.7647059
01-05-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,Sri Lanka,13.568,31.71,233.7116745
01-05-2026,Natural Honey,4090000,Natural Honey,Assam,HATISAR  (Deosiri) ROAD/ RAILWAY,Bhutan,0.813,2.54,312.4231242
01-05-2026,Natural Honey,4090000,Natural Honey,Gujarat,"HAZIRA PORT, SURAT SEZ",Malawi,0.145,0.13,89.65517241
01-05-2026,Natural Honey,4090000,Natural Honey,Uttar Pradesh,ICD CFS STARTRACK DADRI,Tunisia,12.36,28.63,231.6343042
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,KRIBHO INFRA LTD.ICD (HARYANA),United States,56.493,176.62,312.6405041
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Poland,97.68,135.56,138.7796888
01-05-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Nigeria,0.335,0.7,208.9552239
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Maldives,23.628,38.24,161.8418825
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Qatar,41.388,56.18,135.739828
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",United States,445.086,579.07,130.1029464
01-05-2026,Natural Honey,4090000,Natural Honey,Punjab,"ICD SAHNEWAL, GRFL Punjab",Saudi Arabia,13.8,35.36,256.2318841
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Canada,58.956,123,208.6301649
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Barbados,9.63,17.57,182.450675
01-05-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,United Arab Emirates,63.94,83.23,130.1689084
