Date,Environmental Temperature (°C),Relative Humidity (%),Hive Temperature (°C),Hive Humidity (%),Wind Speed (km/h),Honey Weight (kg),Total Weight (Hive + Bees + Honey) (kg),Extract Honey,Year
"January 1, 2024",25.57,85.42,24.69,80.88,4.53,0.21,25.21,False,Non-Ideal Conditions
"January 2, 2024",28.74,68.21,20.25,95.95,1.91,0.37,25.37,False,Non-Ideal Conditions
"January 3, 2024",27.64,66.82,21.12,82.76,8.27,0.49,25.49,False,Non-Ideal Conditions
"January 4, 2024",21.28,86.41,20.9,87.45,7.69,0.69,25.69,False,Non-Ideal Conditions
"January 5, 2024",22.39,80.05,21.18,89.52,1.39,0.79,25.79,False,Non-Ideal Conditions
"January 6, 2024",28.66,67.41,21.15,81.25,9.02,1.02,26.02,False,Non-Ideal Conditions
"January 7, 2024",28.03,67.41,22.83,86.33,9.64,1.19,26.19,False,Non-Ideal Conditions
"January 8, 2024",23.24,84.77,21.13,91.26,1.36,1.37,26.37,False,Non-Ideal Conditions
"January 9, 2024",18.74,80.42,23.39,88.24,3.37,1.57,26.57,False,Non-Ideal Conditions
"January 10, 2024",26.02,78.62,22.72,89.98,7.29,1.79,26.79,False,Non-Ideal Conditions
"January 11, 2024",28.51,88.82,23.43,99.89,0.24,2.02,27.02,False,Non-Ideal Conditions
"January 12, 2024",26.62,74.49,21.38,87.26,0.54,2.12,27.12,False,Non-Ideal Conditions
"January 13, 2024",21.09,84.32,20.19,89.23,4.22,2.31,27.31,False,Non-Ideal Conditions
"January 14, 2024",23.58,71.78,23.75,83.88,7.78,2.49,27.49,False,Non-Ideal Conditions
"January 15, 2024",26.53,68.85,24.16,95.85,0.83,2.7,27.7,False,Non-Ideal Conditions
"January 16, 2024",28.07,89.21,21.35,80.55,7.58,2.85,27.85,False,Non-Ideal Conditions
"January 17, 2024",25.46,76.23,22.67,82.98,2.94,3.08,28.08,False,Non-Ideal Conditions
"January 18, 2024",18.14,70.23,23.53,84.11,1.08,3.18,28.18,False,Non-Ideal Conditions
"January 19, 2024",29.61,84.13,20.94,94.84,3.84,3.26,28.26,False,Non-Ideal Conditions
"January 20, 2024",28.84,86.28,21.06,98.68,5.43,3.38,28.38,False,Non-Ideal Conditions
"January 21, 2024",27.12,79.95,23.19,95.58,0.58,3.54,28.54,False,Non-Ideal Conditions
"January 22, 2024",20.7,75.93,21.46,87.93,0.13,3.65,28.65,False,Non-Ideal Conditions
"January 23, 2024",29.98,83.0,22.15,85.51,4.65,3.88,28.88,False,Non-Ideal Conditions
"January 24, 2024",24.93,82.68,24.59,89.92,1.87,3.99,28.99,False,Non-Ideal Conditions
"January 25, 2024",26.15,86.0,23.93,94.39,3.82,4.14,29.14,False,Non-Ideal Conditions
"January 26, 2024",23.61,77.26,21.12,82.47,3.76,4.3,29.3,False,Non-Ideal Conditions
"January 27, 2024",21.93,75.91,21.47,83.43,8.38,4.53,29.53,False,Non-Ideal Conditions
"January 28, 2024",19.89,84.34,23.58,80.28,9.24,4.69,29.69,False,Non-Ideal Conditions
"January 29, 2024",21.59,87.12,23.64,89.34,5.99,4.81,29.81,False,Non-Ideal Conditions
"January 30, 2024",27.81,77.44,20.81,94.53,4.49,5.0,30.0,False,Non-Ideal Conditions
